name,quality,price,calories,alcohol,craftbeer,bitter,malty
brooklyn.brand,97,6.2399998,159,5.1999998,1,52.5,50.5
leinenkugels.red,92,4.79,160,5,1,41.5,48.5
sam.adams.boston.lager,90,5.96,160,4.9000001,1,54.5,48.5
george.killians.irish.red,79,4.6999998,162,4.9000001,1,37,48
red.wolf,72,4.1100001,157,5.5,1,35.5,41
henry.weinhards.private.reserve,66,3.8499999,151,4.9000001,1,35,24
sterling,65,2.52,155,4.6999998,1,33.5,25
legacy,58,5.46,135,5.0999999,1,51,46
dominion,54,6,162,5.4000001,1,53.5,29
lone.stae,51,3.71,142,4.8000002,1,29.5,24.5
abita.amber,50,6.6999998,146,4.4000001,1,43,47
yuengling.premium,37,4.9899998,148,4.3000002,1,33.5,24
berghoff.original,30,4.0999999,170,5.0999999,1,39,26.5
sam.adams.boston.ale,98,5.96,160,5,1,57,76
sierra.nevada,96,6.3099999,172,5.8000002,1,68.5,69
full.sail.amber,92,6.4200001,170,5.9000001,1,62,84
liberty,90,7.79,184,6,1,80.5,78
elk.mountain.amber,87,5.0500002,201,5.5999999,1,54.5,76
celis.pale.bock,85,5.2600002,155,4.6999998,1,51,78
petes.wicked,82,5.8400002,170,5.3000002,1,57,86
anchor.steam,76,7.2199998,158,4.9000001,1,63,71.5
dock.street.amber,71,6.1199999,159,5.4000001,1,52,68
bass,64,7.3699999,150,5.0999999,1,58,71
redhook.esb,62,6.4699998,177,5.5999999,1,63.5,70
new.amsterdam.new.york,54,6.7199998,146,3.7,1,49.5,74
catamount.amber,49,7.5900002,151,4.9000001,1,61,65
red.nrctar,44,6.3600001,163,5.3000002,1,61,77
old.detroit.amber,43,6.52,186,5.9000001,1,53,64
bridgeport.blue.heron.pale,27,6.3400002,168,5.9000001,1,55.5,78.5
gearys.pale,24,7.0999999,142,4.6999998,1,72,68
molson.golden,89,4.7800002,148,5,0,27,23
labbat.blue,83,4.6300001,150,5,0,27.5,21
fosters,74,5.4099998,140,5,0,29,24
kirin,72,6.3899999,150,5,0,29.5,26
dos.equis,72,5.52,160,4.8000002,0,29,34.5
heineken,72,6.3800001,160,5,0,34.5,20
corona.extra,59,5.6799998,148,4.5999999,0,16,22
st.pauli.girl,48,5.8200002,148,4.9000001,0,39,20.5
becks,39,5.8299999,148,4.3000002,0,38,21.5
pilsner.urquell,30,7.8000002,160,4.0999999,0,56.5,34
old.milwaukee,89,2.8199999,145,4.5,0,21,12
strohs,88,3.2,142,4.4000001,0,21,12
reddog,83,3.8299999,147,5,0,21,12
budweiser,83,4.02,148,4.9000001,0,21,12
icehous,82,3.8800001,149,5.5,0,21,12
molson.ice,80,4.79,155,5.5999999,0,21,12
michelob,79,4,159,5,0,21,12
bud.ice,78,3.95,148,5.5,0,21,12
busch,78,3.27,143,4.9000001,0,21,12
coors.original,76,4.02,137,4.5999999,0,21,12
genesse.cream.ale,71,3.26,153,4.5999999,0,21,12
miller.high.life,70,3.1900001,143,5,0,21,12
pabst.blue.ribbon,68,2.9000001,144,4.6999998,0,21,12
milwaukees.best,67,2.3599999,133,4.5999999,0,21,12
miller.genuine.draft,65,3.9300001,143,5,0,21,12
rolling.rock,41,4.25,143,4.5999999,0,21,12
michelob.light,80,4.0300002,134,4.3000002,0,18.5,7
bud.light,77,4.02,110,4.1999998,0,18.5,7
natural.light,73,2.8599999,110,4.1999998,0,18.5,7
coors.light,68,4.0300002,105,4.1999998,0,18.5,7
miller.light,60,4.02,96,4.5,0,18.5,7
amstel.light,50,6.4899998,95,3.5999999,0,18.5,7
sharps.na,41,3.24,58,0.5,0,12,9
coors.cutter.na,40,3.5999999,82,0.5,0,8,16
kingsbury.na,40,2.99,60,0.5,0,10,7
old.milwaukee.na,39,2.75,72,0.5,0,12.5,5
odouls.na,30,3.9000001,70,0.5,0,8,7
kaiber.na,27,5.4200001,71,0.5,0,31,14
clausthaler.na,24,5.6300001,96,0.5,0,33,11