WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age2016,StealShampoo,weights
997217,1,0,0,11,11,2,0,0,0,38,1,1.43
997220,1,0,0,13,7,5,1,0,0,25,0,0.38
997224,1,0,0,13,11,6,0,1,0,52,1,0.21
997225,1,0,0,11,4,6,0,0,1,54,1,0.24
997228,1,0,0,9,2,7,0,1,0,40,1,0.22
997229,1,0,0,13,11,5,0,1,0,37,1,0.54
997231,1,0,0,12,5,7,1,1,0,64,1,0.16
997232,1,0,0,13,4,1,0,0,1,61,1,0.12
997235,1,0,0,10,8,4,1,0,0,39,1,3.1
997807,0,1,0,12,2,8,1,0,1,33,1,0.17
997811,1,0,0,10,13,2,0,0,0,32,1,0.99
997812,1,0,0,15,15,6,0,1,0,64,1,0.3
997813,1,0,0,12,1,2,1,0,0,61,1,0.29
997814,1,0,0,10,11,7,1,1,0,71,0,1.18
997816,1,0,0,12,11,4,0,1,0,49,1,0.45
997817,1,1,1,14,2,1,0,0,1,76,1,0.06
997818,1,0,0,12,7,6,0,0,0,29,1,0.13
997820,1,0,0,9,2,4,1,0,1,34,1,0.07
997822,1,0,0,12,10,5,1,0,0,58,1,0.36
997823,1,0,0,12,6,2,0,0,1,64,1,0.25
997824,1,0,0,13,7,4,1,0,0,56,1,0.11
997827,1,0,0,12,3,7,1,1,0,62,1,1.27
997829,1,0,0,12,8,4,1,0,0,52,1,0.84
997831,1,0,0,11,7,6,0,0,0,48,1,0.42
997832,1,0,0,10,7,3,0,0,1,40,0,3
997833,1,0,0,9,7,5,1,0,0,48,1,2.91
997842,1,0,0,13,6,4,1,0,1,25,1,0.2
997844,1,0,0,10,6,5,1,0,0,53,1,0.97
997846,1,0,0,14,8,4,0,0,0,64,1,0.48
997851,1,0,0,13,14,4,0,0,0,64,1,0.24
997855,1,0,0,12,8,3,1,0,1,63,1,0.21
997859,1,0,0,9,9,8,0,0,0,76,0,1.65
997861,1,0,0,14,6,4,1,0,1,58,1,0.19
997864,1,0,0,10,6,6,0,1,0,83,1,0.47
997868,1,0,0,12,2,6,1,0,1,34,1,0.14
997870,1,0,0,11,3,8,1,0,0,56,1,0.06
997871,1,0,0,12,8,3,0,0,0,73,1,0.82
997872,1,0,0,11,5,5,0,1,0,61,0,0.62
998051,1,0,0,9,4,5,1,0,0,54,1,0.81
998052,1,0,0,15,14,5,1,1,0,43,1,0.76
998058,1,0,0,10,6,6,0,0,0,37,1,0.38
998062,0,1,0,9,3,3,0,0,1,81,1,5.15
998063,1,0,0,10,2,2,1,0,1,57,1,0.1
998064,1,0,0,12,4,4,1,0,0,28,1,0.1
998066,0,0,0,8,2,4,1,0,0,86,0,1.01
998068,1,0,0,10,11,2,1,0,1,40,1,2.67
998069,1,0,0,13,13,7,0,0,0,49,1,0.34
998070,1,0,0,15,9,4,1,0,1,32,1,0.34
998073,1,0,0,11,1,1,1,0,0,76,1,3.56
998075,1,0,0,13,10,6,0,1,0,69,1,0.15
998076,1,0,0,10,4,5,1,0,1,64,1,0.31
998138,1,0,0,13,7,5,1,0,0,54,1,0.2
998139,1,0,0,12,8,2,1,0,0,35,1,0.34
998140,1,0,0,10,3,2,1,0,1,48,1,0.34
998276,1,0,0,12,5,6,1,0,0,38,1,0.11
998278,1,0,0,13,14,5,1,1,0,35,1,0.36
998279,0,0,1,9,2,3,0,0,1,74,0,7.38
998281,0,1,0,11,4,2,1,0,1,58,1,0.75
998284,1,0,0,12,4,4,1,1,0,42,0,0.1
998478,1,0,0,11,8,6,1,1,0,51,1,0.35
998479,1,0,0,12,3,4,1,0,0,54,1,0.06
998481,1,0,0,10,9,5,1,0,0,70,1,0.98
998482,1,0,0,11,5,2,0,0,1,30,1,0.09
999154,1,0,0,12,6,6,0,1,0,35,1,0.28
999155,1,0,0,13,5,4,0,0,1,72,0,0.07
999157,1,0,0,12,4,4,1,0,0,64,1,0.31
999158,1,0,0,12,11,3,0,0,0,55,1,0.48
999159,1,0,0,11,9,6,1,0,0,65,1,0.52
999164,1,0,0,9,4,7,1,0,1,46,1,0.5
999172,1,0,0,10,7,6,1,1,0,75,1,0.88
999174,1,0,0,12,11,6,0,1,0,82,1,0.76
999175,1,0,0,9,13,6,1,1,0,34,1,1.6
999178,1,0,0,10,4,2,1,0,1,76,1,0.18
999182,1,0,0,10,5,6,0,1,0,60,1,0.14
999185,1,0,0,11,3,7,0,1,0,47,1,0.25
999478,0,1,0,10,1,2,1,0,1,46,1,2.56
999481,1,0,0,13,7,5,1,1,0,67,1,0.31
999486,0,0,1,15,11,5,1,0,0,64,1,2
999489,1,0,0,10,5,2,0,0,0,46,1,0.77
999490,1,0,0,13,11,1,1,0,1,54,1,0.9
999491,1,0,0,15,7,1,0,0,1,35,1,0.15
999493,1,0,0,10,6,3,1,0,1,80,1,0.41
999495,1,0,0,10,11,2,0,0,0,39,1,1.23
999498,1,0,0,13,5,7,1,1,0,67,1,0.22
999505,1,0,0,10,6,6,0,1,0,37,1,0.53
999790,1,0,0,13,2,2,0,0,1,54,1,0.22
999791,1,0,0,11,15,2,0,0,1,65,1,1.18
999792,0,0,0,7,3,6,1,1,0,68,0,2.98
999798,1,0,0,12,12,6,1,0,1,79,0,0.42
999800,1,0,0,11,14,5,1,1,0,69,1,3.11
999803,1,0,0,12,7,4,0,0,0,76,1,0.2
999807,1,0,0,15,15,1,1,0,1,35,1,0.68
999810,1,0,0,7,1,8,1,0,1,79,1,5.05
999811,1,0,0,12,11,5,0,1,0,79,1,0.99
999815,1,0,0,12,11,7,0,0,0,63,1,0.7
999816,0,0,0,12,13,6,1,1,0,62,1,2
999820,1,0,0,12,3,7,1,1,0,55,1,1.64
999822,1,0,0,12,11,6,0,1,0,39,1,4.53
999824,1,0,0,9,2,8,0,0,0,77,1,0.42
999826,1,0,0,12,9,6,0,1,0,53,1,1.43
999829,1,1,0,11,3,1,1,0,1,48,1,0.36
999830,1,0,0,10,3,2,1,0,1,43,0,0.85
999831,1,0,0,11,3,2,1,0,1,41,1,0.24
999833,0,0,0,12,11,3,1,0,1,31,1,0.74
999834,1,0,0,15,10,2,1,0,0,67,1,0.57
999836,1,0,0,12,8,6,1,1,0,75,1,1.11
999837,1,0,0,12,4,3,1,0,1,67,1,0.22
999839,1,0,0,10,13,6,0,1,0,58,1,0.49
999840,1,0,0,9,5,8,1,0,0,62,1,2.33
999841,1,0,0,13,8,7,1,1,0,36,0,1.96
999842,1,0,0,12,9,6,1,1,0,48,1,1.37
999845,1,0,0,12,8,1,0,0,1,61,1,0.26
999846,1,0,0,9,2,2,0,0,0,65,0,0.06
1000105,1,0,0,10,5,5,0,0,1,74,0,0.38
1000106,1,0,0,13,7,2,1,0,1,66,1,0.43
1000110,1,0,0,11,9,6,0,1,0,35,1,0.5
1000111,0,0,1,9,2,2,0,0,1,57,1,6.21
1000114,1,0,0,13,3,2,0,0,0,76,1,1.5
1000115,0,0,1,13,10,2,1,0,1,53,0,1.26
1000116,1,0,0,13,10,3,1,0,0,76,1,1.49
1000120,1,0,0,12,4,4,0,0,0,53,0,0.73
1000125,1,0,0,12,12,7,0,1,0,59,1,0.45
1000126,1,0,0,10,6,2,0,0,1,67,1,0.34
1000129,1,0,0,11,1,3,1,0,1,62,1,1.25
1000130,1,0,0,10,6,5,1,1,0,65,1,0.36
1000277,1,0,0,12,13,3,1,0,0,85,1,1.6
1000278,1,0,0,13,5,6,1,1,0,79,1,0.43
1000281,0,0,0,14,16,7,0,0,0,36,1,0.39
1000283,1,0,0,12,8,4,0,0,0,54,1,0.67
1000287,0,1,0,10,11,6,1,0,1,59,1,1.18
1000289,1,0,0,10,3,6,0,1,0,60,1,0.06
1000290,1,0,0,11,2,5,0,0,0,47,0,0.27
1000291,1,0,0,12,5,4,0,0,0,42,1,0.16
1000293,1,0,0,10,6,4,1,0,0,67,1,0.97
1000294,1,0,0,14,6,4,1,1,0,55,1,0.14
1000296,1,0,0,9,3,6,1,1,0,61,1,0.15
1000661,1,0,0,11,14,7,0,1,0,74,1,0.83
1000665,1,0,0,9,11,4,0,0,1,65,0,1.31
1000669,1,0,0,13,5,2,1,0,1,61,1,0.12
1000672,1,0,0,15,8,7,0,1,0,52,1,0.13
1000676,1,0,0,9,7,4,0,1,0,74,1,4.44
1000683,1,0,0,10,1,4,1,0,0,29,1,0.47
1000686,1,0,0,14,11,2,0,0,0,75,1,0.45
1000688,1,0,0,12,6,4,0,0,0,77,1,0.12
1000689,1,0,0,11,3,8,1,0,1,66,1,0.12
1000691,1,0,0,13,10,2,0,0,0,62,1,1.61
1000704,1,0,0,12,7,6,1,1,0,39,1,0.85
1000705,1,0,0,9,10,6,0,1,0,38,0,1.32
1000708,1,0,0,12,8,2,1,0,1,70,1,0.11
1000710,1,0,0,12,1,7,0,0,0,54,0,3.18
1000711,0,1,0,9,1,6,1,0,1,57,1,0.82
1000712,1,0,0,13,11,3,0,0,0,56,1,3.19
1000713,1,0,0,13,11,3,1,0,1,68,1,0.47
1000715,1,0,0,13,7,2,1,0,1,60,1,0.19
1000718,1,0,0,13,8,3,1,0,1,60,1,0.38
1000721,1,0,0,13,8,2,1,0,1,78,1,0.4
1000723,1,0,0,12,9,7,1,0,0,67,1,0.78
1000724,0,0,1,14,15,5,0,1,0,50,1,1.61
1000725,1,0,0,10,5,8,0,0,0,60,1,0.3
1000726,1,0,1,13,12,6,0,1,0,55,1,2.09
1000727,1,0,0,9,9,7,0,1,0,76,0,6.59
1000728,1,0,0,15,12,4,0,0,0,45,1,1.62
1000731,1,0,0,13,5,2,0,1,0,59,1,0.28
1000734,1,0,0,10,3,3,1,0,0,79,1,0.29
1000947,1,0,0,9,6,1,0,0,1,60,1,0.36
1000954,1,0,0,11,5,2,1,0,1,53,1,0.06
1000965,1,0,0,11,12,5,0,1,0,67,1,0.5
1000968,0,0,1,11,9,5,0,0,0,45,1,1.27
1000970,0,1,0,7,7,4,1,0,1,61,1,7.38
1000972,0,0,0,3,5,2,1,0,1,40,1,5.16
1000979,1,0,0,11,6,4,1,1,0,57,1,2.52
1001070,1,0,0,10,4,2,1,0,1,49,1,0.72
1001078,1,0,0,13,8,1,1,0,1,63,1,0.52
1001083,1,0,0,13,3,6,0,0,0,67,1,0.06
1001087,1,0,0,10,6,8,0,0,1,58,1,1.18
1001089,1,0,0,13,8,3,0,0,0,76,1,0.28
1001090,1,0,0,11,9,4,1,0,0,43,1,0.77
1001091,1,0,0,11,10,5,1,0,0,49,1,0.66
1001094,1,0,0,10,13,1,0,0,1,78,1,1.29
1001097,1,0,0,12,11,2,0,0,1,58,1,0.64
1001098,1,0,0,13,10,6,1,1,0,29,1,0.17
1001099,1,0,0,13,4,1,0,0,1,55,1,0.07
1001100,0,0,1,12,15,6,0,1,0,82,1,0.88
1001101,1,0,0,11,7,6,0,1,0,83,1,0.61
1001102,1,0,0,12,9,7,1,0,0,72,1,0.35
1001103,1,0,0,13,8,4,0,0,1,60,1,0.61
1001105,1,0,0,14,6,6,1,1,0,52,1,0.91
1001106,1,0,0,13,5,1,0,0,0,37,0,0.2
1001108,1,0,0,9,4,1,0,0,1,69,1,0.54
1001110,1,0,0,13,10,6,0,1,0,56,1,0.46
1001111,1,0,0,9,6,3,0,0,1,60,1,0.4
1001113,1,0,0,13,12,1,0,0,0,54,1,0.7
1001114,1,0,1,10,11,2,1,0,1,69,1,7.38
1001115,0,0,0,10,6,4,0,0,1,55,1,0.87
1001120,1,0,1,12,11,8,1,1,0,72,1,2.03
1001122,1,0,0,10,2,6,1,0,1,38,1,0.43
1001123,1,0,0,11,14,6,0,0,0,77,1,0.59
1001125,0,1,0,11,7,2,0,0,1,36,1,1.98
1001127,1,0,0,12,2,3,0,1,0,40,0,0.06
1001130,1,0,0,12,11,6,1,1,0,72,1,0.52
1001435,1,0,0,11,4,6,0,1,0,49,0,0.67
1001440,0,1,0,12,3,2,1,0,1,38,1,0.2
1001442,1,0,0,13,4,4,1,1,0,64,1,0.11
1001443,0,0,1,13,10,4,1,0,1,51,0,0.31
1001444,0,0,0,13,11,4,0,0,1,31,1,0.96
1001446,0,1,0,12,3,2,0,0,1,64,1,1.39
1001448,1,0,0,10,3,7,1,1,0,69,1,0.14
1001451,0,1,0,10,11,2,1,0,1,72,1,3.28
1001456,1,0,0,10,8,6,1,0,0,72,1,1.03
1001463,1,0,0,12,9,6,0,1,0,65,1,0.24
1001519,0,1,0,10,3,4,0,0,1,58,0,2.94
1001522,1,0,0,12,12,4,0,0,0,68,1,0.48
1001523,1,0,0,12,4,5,1,1,0,67,1,3.25
1001525,1,0,0,10,4,7,1,1,0,80,1,0.31
1001530,1,0,0,12,12,1,0,0,1,43,1,2.19
1001531,1,0,0,13,8,6,0,0,0,64,0,0.99
1001532,0,0,0,13,16,4,0,0,0,46,1,0.76
1001533,1,0,0,9,3,4,1,0,1,60,0,0.4
1001536,0,1,0,10,3,8,1,0,1,64,1,0.41
1002771,0,1,0,9,1,2,0,0,1,83,1,6.53
1002772,1,0,0,10,2,2,1,0,1,39,1,1.29
1002775,1,0,0,12,8,6,0,0,0,59,1,0.19
1002778,1,0,0,15,12,2,0,0,1,60,1,0.7
1002779,1,0,0,10,4,5,0,1,0,29,0,0.24
1002780,1,0,0,10,11,2,0,0,1,63,1,0.58
1002782,1,0,0,12,7,8,1,0,0,45,1,0.11
1002783,1,0,0,10,3,4,1,0,1,73,1,0.11
1002784,1,0,0,13,16,6,0,0,0,58,1,1.32
1002786,1,0,0,13,11,2,1,0,1,66,1,0.55
1002788,0,1,0,12,7,4,1,0,1,63,1,2.17
1002789,0,0,1,10,12,4,1,1,0,52,1,2.71
1002793,1,0,0,10,4,5,1,0,0,59,1,0.2
1002794,1,0,0,9,2,3,1,0,1,53,0,0.3
1002795,1,0,0,12,4,6,0,1,0,50,1,0.21
1002802,1,0,0,12,7,5,0,1,0,29,1,0.18
1002804,0,0,1,15,14,8,0,0,1,70,0,2.9
1002805,1,0,0,10,7,4,0,0,0,72,1,1.33
1002806,0,1,0,15,9,6,1,1,0,53,0,0.34
1002808,1,0,0,10,11,3,1,0,1,71,1,1.24
1002815,1,0,0,12,8,3,0,0,1,53,1,0.34
1002820,1,0,0,13,13,4,1,0,0,69,1,0.37
1002821,1,0,0,15,2,2,1,0,1,56,1,0.06
1002823,1,0,0,12,3,4,0,0,1,50,1,0.07
1002891,1,0,0,10,9,4,0,0,0,62,1,2.63
1002892,1,0,0,10,5,3,1,0,0,64,1,0.17
1002893,1,0,0,13,9,2,0,0,1,50,1,0.23
1002894,1,0,0,9,4,8,0,0,0,54,1,0.57
1002904,1,0,0,12,3,5,0,0,0,68,1,0.12
1002905,1,0,0,12,11,3,0,0,1,71,1,0.25
1002907,1,0,0,15,2,4,1,0,0,56,1,0.13
1002909,1,0,0,13,6,6,0,1,0,54,1,0.09
1002912,1,0,0,9,1,8,0,0,0,71,0,0.39
1002913,1,0,0,10,4,6,0,1,0,49,1,1
1002914,0,0,0,14,12,7,0,1,0,59,1,0.19
1002917,0,0,1,13,10,3,0,0,1,65,0,0.31
1003387,1,0,0,12,8,2,0,0,1,61,1,0.25
1003388,1,0,0,10,2,4,1,0,0,52,1,0.1
1003390,0,1,0,15,7,2,0,0,1,77,1,0.17
1003391,1,0,0,9,4,8,0,0,1,56,1,1.35
1003395,1,1,0,10,3,8,1,0,0,54,1,0.18
1003396,1,0,0,9,10,6,1,0,1,40,1,2.34
1003399,1,0,0,11,5,2,1,0,1,39,1,0.25
1003404,1,0,0,10,1,4,0,0,1,58,1,0.06
1003406,1,0,0,8,5,4,1,0,0,35,1,4.52
1003949,1,0,0,8,4,8,1,0,0,48,0,3.18
1003952,0,0,0,12,3,2,0,0,1,70,1,1.21
1003953,1,0,0,13,12,4,0,0,1,39,1,0.83
1003956,1,0,0,11,7,6,1,1,0,56,1,1.21
1003957,1,0,0,15,4,6,0,0,0,63,0,0.07
1004378,1,0,0,14,10,1,0,0,1,48,1,0.12
1004379,1,0,0,10,1,6,1,1,0,46,1,0.09
1004380,0,0,0,11,6,1,0,0,1,58,0,0.28
1004381,1,0,0,9,1,7,1,1,0,47,1,0.06
1004385,1,0,0,12,3,4,0,0,0,44,1,0.35
1004989,1,0,0,11,7,6,1,1,0,73,1,0.18
1004991,1,0,0,9,8,7,0,1,0,72,0,1.72
1004992,1,0,0,12,8,3,0,0,1,59,1,0.24
1004993,1,0,0,9,4,4,1,0,0,48,1,1.74
1004994,1,0,0,10,1,1,1,0,1,66,1,0.23
1004995,1,0,0,9,5,8,1,0,1,36,1,0.48
1004999,1,0,0,12,13,6,0,1,0,63,1,1.15
1005001,1,0,0,9,7,5,1,0,0,65,1,0.25
1005006,1,0,0,10,7,5,0,0,0,73,0,0.45
1005007,1,0,0,10,14,5,0,0,1,60,0,5.71
1005008,1,0,0,13,12,2,0,0,1,55,1,0.68
1005009,1,0,0,13,11,6,0,1,0,69,1,0.34
1005012,1,0,0,12,4,6,1,1,0,49,1,0.1
1005373,1,0,0,12,10,6,1,1,0,66,1,0.8
1005375,1,0,0,10,8,4,0,0,0,65,1,0.5
1005376,1,0,0,13,13,4,1,0,0,56,1,0.71
1005377,1,0,0,12,5,3,0,0,0,36,1,0.06
1005379,1,0,0,9,3,5,0,0,0,58,1,1.1
1005380,1,0,0,9,5,8,0,0,0,33,1,0.99
1005381,0,0,0,10,5,4,1,0,1,59,1,0.8
1005836,1,0,0,10,4,6,0,0,0,59,0,0.29
1005838,1,0,0,10,10,5,0,0,0,70,1,0.46
1005923,1,0,0,15,13,6,0,1,0,74,1,0.48
1005924,1,0,0,12,4,6,1,0,0,36,0,0.22
1005925,1,0,0,10,8,6,1,0,1,83,1,0.98
1006141,1,0,0,12,8,6,0,0,0,46,1,0.15
1006142,1,0,0,10,8,6,0,0,0,37,1,0.66
1006143,1,0,0,9,2,8,0,0,0,78,1,2.85
1007076,1,0,0,13,8,1,1,0,1,67,1,0.36
1007082,1,0,0,10,4,3,0,0,1,28,1,0.07
1007084,1,0,0,13,8,2,1,0,0,57,1,0.09
1007381,0,0,1,15,13,5,0,1,0,27,0,1.14
1007382,1,0,0,10,2,2,0,0,0,70,1,0.54
1007383,1,0,0,9,1,6,0,1,0,49,1,1.01
1007384,1,0,0,12,10,2,0,0,1,74,1,0.22
1007387,1,0,0,12,7,2,0,0,1,33,1,0.16
1007388,0,0,0,11,10,5,1,0,1,55,1,2.72
1007574,1,0,0,11,9,4,1,1,0,43,1,0.51
1007575,1,0,0,9,5,6,1,1,0,35,0,6.23
1007577,1,0,0,11,11,2,0,0,1,64,1,0.63
1007580,1,0,0,9,14,6,0,1,0,63,0,2.86
1007835,1,0,0,12,11,6,0,0,0,45,1,0.31
1007837,1,0,0,12,10,2,0,0,1,52,1,0.45
1007838,1,0,0,15,1,1,1,0,1,72,1,0.06
1007839,1,0,0,12,4,3,0,0,0,70,1,0.33
1007840,1,0,0,12,11,6,0,1,0,36,1,0.35
1007841,1,0,0,10,9,6,0,1,0,66,1,0.51
1008361,1,0,0,12,11,3,1,0,1,55,1,0.55
1008363,1,0,0,14,8,3,0,0,0,39,1,0.39
1008426,1,0,0,9,6,4,0,0,1,39,1,2.96
1008428,1,0,0,10,6,6,0,1,0,73,1,0.53
1008429,0,0,0,10,8,6,1,0,0,27,1,0.6
1008431,1,0,0,9,3,7,0,0,0,62,1,7.38
1008826,1,0,0,12,4,3,1,0,1,54,1,0.21
1008832,1,0,0,13,10,4,0,0,1,88,1,0.27
1008834,0,1,0,15,5,4,0,0,1,37,0,0.51
1008836,1,0,0,9,11,4,1,0,0,71,1,1.72
1008838,1,0,0,13,8,4,0,1,0,35,1,0.17
1008840,1,0,0,13,10,5,0,1,0,58,1,0.62
1008843,1,0,0,12,5,2,1,0,1,51,0,0.35
1009129,0,1,0,12,5,2,1,0,1,63,1,0.18
1009130,1,0,0,13,9,4,0,0,0,66,1,0.23
1009131,1,0,0,9,6,5,1,1,0,23,0,0.97
1009132,1,0,0,12,8,4,0,0,0,71,1,0.18
1009133,1,0,0,11,11,7,0,0,0,58,1,1.18
1009136,1,0,0,12,6,6,1,1,0,48,1,0.56
1009139,1,0,0,15,7,1,1,0,0,35,1,0.22
1009142,0,0,1,10,2,8,1,0,1,36,1,0.19
1009266,1,0,0,12,4,3,1,0,1,75,1,0.06
1009270,1,0,0,11,1,6,0,1,0,52,1,0.19
1009274,0,0,0,12,1,2,0,0,1,79,1,0.5
1009279,1,0,0,13,12,4,0,0,0,55,1,1.15
1009289,1,0,0,12,6,8,0,0,1,32,1,0.92
1009294,1,0,0,12,11,4,0,0,0,48,1,0.24
1009295,1,0,0,9,8,7,0,1,0,45,1,3.61
1009302,1,0,0,10,11,4,1,1,0,73,1,2.36
1009303,1,0,0,13,13,4,0,0,0,49,1,0.54
1009304,1,0,0,12,8,2,1,0,1,63,1,0.33
1009565,1,0,0,10,2,7,1,0,0,72,1,0.12
1009566,1,0,0,12,13,4,0,0,0,38,1,1.26
1009567,1,0,0,9,5,2,1,0,1,70,1,0.81
1009569,0,0,1,12,11,3,0,0,1,51,1,0.31
1009845,1,0,0,15,9,6,0,1,0,41,1,0.27
1009853,1,0,0,13,5,2,1,0,1,78,1,0.4
1009916,1,0,0,12,7,5,1,1,0,61,1,0.34
1009917,1,0,0,10,6,6,0,0,0,46,1,0.53
1009921,1,0,0,12,7,7,0,1,0,74,1,0.24
1009923,1,0,0,15,13,4,0,0,0,44,1,0.7
1009928,1,0,0,14,12,2,1,0,1,63,1,0.36
1009934,0,1,0,9,5,2,0,0,0,84,1,7.38
1010279,1,0,0,15,8,3,0,0,1,25,1,0.29
1010282,1,0,0,15,15,2,0,0,1,35,1,0.45
1010286,1,0,0,10,1,6,0,0,0,72,0,0.35
1010314,1,0,0,11,5,4,1,0,0,55,1,0.22
1010315,1,0,0,9,3,2,1,0,1,31,0,1.42
1010316,1,0,0,12,12,6,1,1,0,29,1,7.38
1010318,1,0,0,10,11,5,0,0,0,72,0,0.54
1010319,1,0,0,11,9,5,0,0,0,33,0,1.17
1010511,0,1,0,11,4,2,1,0,1,66,1,0.18
1010517,0,0,0,12,9,4,0,0,0,61,1,0.92
1010975,1,0,0,13,5,1,1,0,0,68,1,0.12
1010978,1,0,0,11,5,6,1,1,0,85,1,0.37
1010981,1,0,0,13,10,3,0,0,1,26,1,0.45
1010982,1,0,0,12,14,6,0,0,0,68,1,0.88
1010984,1,0,0,14,5,5,1,0,0,72,1,0.48
1011251,1,0,0,13,1,5,0,1,0,58,1,0.2
1011399,1,0,0,13,9,2,0,0,0,80,1,0.15
1011401,1,0,0,11,5,6,0,1,0,56,1,0.22
1011761,1,0,0,12,4,7,0,0,0,69,1,0.34
1011764,1,0,0,13,11,2,1,0,1,69,1,0.55
1012022,1,0,0,10,13,5,0,0,0,72,0,1.09
1012024,1,0,0,10,9,2,0,0,1,65,1,1.82
1012824,1,0,0,13,6,4,0,0,1,65,1,0.47
1012826,1,0,0,9,11,6,0,0,0,76,1,7.38
1012830,1,0,0,9,8,7,0,1,0,70,1,1.48
1012837,1,0,0,10,3,2,1,0,1,56,1,0.22
1012842,1,0,0,11,13,3,0,0,1,78,1,1.42
1012844,1,0,0,11,4,4,0,0,1,50,1,0.13
1012846,1,0,0,12,11,6,0,0,1,47,1,0.41
1012848,0,1,0,10,7,2,1,0,1,28,1,1.35
1012853,1,0,0,11,6,6,1,0,1,70,1,0.2
1012854,1,0,0,12,10,6,1,1,0,58,1,0.19
1012864,1,0,0,10,10,6,0,1,0,83,1,0.58
1012865,1,0,0,13,7,4,0,0,0,32,1,0.28
1012867,1,0,0,11,5,8,1,0,1,67,1,6.86
1012868,1,0,0,12,13,3,0,0,1,61,1,0.54
1012870,1,0,0,9,4,8,1,1,0,72,1,0.88
1012874,1,0,0,12,11,5,0,1,0,58,1,0.31
1012875,1,0,0,13,4,4,0,1,0,51,1,0.12
1012876,1,0,0,15,8,6,0,1,0,85,0,0.23
1012878,1,0,0,12,10,4,1,0,1,44,0,0.29
1013050,1,0,0,13,14,4,0,0,1,68,1,0.45
1013054,1,0,0,13,15,7,0,1,0,53,1,0.62
